身分,區域別,性別,總計,阿美族,泰雅族,排灣族,布農族,魯凱族,卑南族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報
不分平地山地,桃園縣,女    ,31634,14487,9427,2418,1971,231,393,81,536,58,9,52,786,14,94,0,0,1077
不分平地山地,新竹縣,計    ,19971,1497,15294,430,308,58,105,25,1521,16,6,9,154,1,28,0,0,519
不分平地山地,新竹縣,男    ,9945,674,7764,171,95,30,45,11,779,8,3,4,61,0,10,0,0,290
不分平地山地,新竹縣,女    ,10026,823,7530,259,213,28,60,14,742,8,3,5,93,1,18,0,0,229
不分平地山地,苗栗縣,計    ,10747,1143,6147,326,294,12,83,22,2398,8,14,12,86,3,17,0,0,182
不分平地山地,苗栗縣,男    ,5264,465,3076,132,98,3,35,4,1310,5,5,6,36,1,4,0,0,84
不分平地山地,苗栗縣,女    ,5483,678,3071,194,196,9,48,18,1088,3,9,6,50,2,13,0,0,98
不分平地山地,彰化縣,計    ,5089,1864,412,1188,862,123,184,44,19,12,19,20,102,0,44,0,0,196
不分平地山地,彰化縣,男    ,2263,877,143,538,372,46,73,17,9,8,12,12,45,0,21,0,0,90
不分平地山地,彰化縣,女    ,2826,987,269,650,490,77,111,27,10,4,7,8,57,0,23,0,0,106
不分平地山地,南投縣,計    ,28369,789,6441,426,13781,76,64,248,49,5,420,2,92,0,5937,0,0,39
不分平地山地,南投縣,男    ,14373,323,3122,170,7169,22,24,123,20,3,218,0,30,0,3130,0,0,19
不分平地山地,南投縣,女    ,13996,466,3319,256,6612,54,40,125,29,2,202,2,62,0,2807,0,0,20
不分平地山地,雲林縣,計    ,1882,760,245,346,215,33,39,48,12,3,0,4,78,0,8,0,0,91
不分平地山地,雲林縣,男    ,720,300,80,143,77,14,8,14,2,3,0,2,36,0,5,0,0,36
不分平地山地,雲林縣,女    ,1162,460,165,203,138,19,31,34,10,0,0,2,42,0,3,0,0,55
不分平地山地,嘉義縣,計    ,5547,481,181,292,240,29,48,4015,27,3,19,2,46,1,15,0,0,148
不分平地山地,嘉義縣,男    ,2680,170,62,122,106,15,27,2071,8,3,7,0,10,0,4,0,0,75
不分平地山地,嘉義縣,女    ,2867,311,119,170,134,14,21,1944,19,0,12,2,36,1,11,0,0,73
不分平地山地,屏東縣,計    ,57079,1887,393,46874,547,5607,168,75,26,14,3,7,110,4,9,0,0,1355
不分平地山地,屏東縣,男    ,28558,843,123,23729,180,2771,64,29,4,6,1,1,45,1,3,0,0,758
不分平地山地,屏東縣,女    ,28521,1044,270,23145,367,2836,104,46,22,8,2,6,65,3,6,0,0,597
不分平地山地,臺東縣,計    ,79781,37337,409,16385,8164,2011,7461,43,48,3861,2,105,166,5,17,0,0,3767
不分平地山地,臺東縣,男    ,41464,19500,149,8416,4226,1016,3777,11,18,1974,0,60,57,4,9,0,0,2247
不分平地山地,臺東縣,女    ,38317,17837,260,7969,3938,995,3684,32,30,1887,2,45,109,1,8,0,0,1520
不分平地山地,花蓮縣,計    ,90920,51689,2716,692,7731,59,389,34,44,15,0,629,21378,490,692,0,0,4362
不分平地山地,花蓮縣,男    ,46077,26127,1135,286,3971,20,164,14,20,5,0,316,10711,236,364,0,0,2708
不分平地山地,花蓮縣,女    ,44843,25562,1581,406,3760,39,225,20,24,10,0,313,10667,254,328,0,0,1654
不分平地山地,澎湖縣,計    ,323,130,50,66,26,5,14,7,1,1,0,0,21,0,2,0,0,0
不分平地山地,澎湖縣,男    ,132,57,17,26,6,2,4,3,0,0,0,0,16,0,1,0,0,0
不分平地山地,澎湖縣,女    ,191,73,33,40,20,3,10,4,1,1,0,0,5,0,1,0,0,0
不分平地山地,基隆市,計    ,8718,7031,536,211,241,9,93,26,16,8,4,10,152,4,20,0,0,357
不分平地山地,基隆市,男    ,4273,3533,202,89,103,2,40,7,6,3,2,5,75,0,11,0,0,195
不分平地山地,基隆市,女    ,4445,3498,334,122,138,7,53,19,10,5,2,5,77,4,9,0,0,162
不分平地山地,新竹市,計    ,3170,1111,981,261,128,26,41,14,213,4,2,2,126,1,18,0,0,242
不分平地山地,新竹市,男    ,1373,535,349,117,55,13,17,2,97,0,1,1,61,0,11,0,0,114
不分平地山地,新竹市,女    ,1797,576,632,144,73,13,24,12,116,4,1,1,65,1,7,0,0,128
不分平地山地,嘉義市,計    ,894,165,64,77,103,8,39,352,5,2,1,4,20,4,9,0,0,41
不分平地山地,嘉義市,男    ,370,64,18,32,43,3,18,161,4,0,0,0,8,2,2,0,0,15
不分平地山地,嘉義市,女    ,524,101,46,45,60,5,21,191,1,2,1,4,12,2,7,0,0,26
不分平地山地,福建省,計    ,677,319,84,92,72,6,5,8,8,1,0,0,40,0,2,0,0,40
不分平地山地,福建省,男    ,345,153,39,52,34,6,3,5,3,0,0,0,22,0,1,0,0,27
不分平地山地,福建省,女    ,332,166,45,40,38,0,2,3,5,1,0,0,18,0,1,0,0,13
不分平地山地,金門縣,計    ,548,267,64,74,59,6,2,7,7,0,0,0,24,0,1,0,0,37
不分平地山地,金門縣,男    ,268,123,27,41,27,6,1,4,3,0,0,0,11,0,1,0,0,24
不分平地山地,金門縣,女    ,280,144,37,33,32,0,1,3,4,0,0,0,13,0,0,0,0,13
不分平地山地,連江縣,計    ,129,52,20,18,13,0,3,1,1,1,0,0,16,0,1,0,0,3
不分平地山地,連江縣,男    ,77,30,12,11,7,0,2,1,0,0,0,0,11,0,0,0,0,3
不分平地山地,連江縣,女    ,52,22,8,7,6,0,1,0,1,1,0,0,5,0,1,0,0,0
平地原住民,總計,計    ,244758,190127,1704,18780,359,2361,12490,15,4105,10,708,1272,150,624,12,0,0,12041
平地原住民,總計,男    ,121185,94007,754,9117,124,1149,6081,5,2024,1,342,639,63,310,7,0,0,6562
平地原住民,總計,女    ,123573,96120,950,9663,235,1212,6409,10,2081,9,366,633,87,314,5,0,0,5479
平地原住民,新北市,計    ,35136,29534,124,1398,60,174,1086,0,304,2,46,244,14,28,1,0,0,2121
平地原住民,新北市,男    ,16811,14160,40,646,14,67,498,0,125,0,23,127,5,20,0,0,0,1086
平地原住民,新北市,女    ,18325,15374,84,752,46,107,588,0,179,2,23,117,9,8,1,0,0,1035
平地原住民,臺北市,計    ,8706,6386,53,393,4,41,378,0,77,0,14,35,7,20,0,0,0,1298
平地原住民,臺北市,男    ,3822,2826,22,169,2,16,173,0,32,0,4,15,3,8,0,0,0,552
平地原住民,臺北市,女    ,4884,3560,31,224,2,25,205,0,45,0,10,20,4,12,0,0,0,746
平地原住民,臺中市,計    ,11458,8252,98,1701,42,166,543,0,150,0,120,26,8,9,0,0,0,343
平地原住民,臺中市,男    ,5540,4042,37,805,18,80,253,0,77,0,50,8,4,4,0,0,0,162
平地原住民,臺中市,女    ,5918,4210,61,896,24,86,290,0,73,0,70,18,4,5,0,0,0,181
平地原住民,臺南市,計    ,2744,1841,10,427,22,17,274,0,11,0,15,10,3,4,0,0,0,110
平地原住民,臺南市,男    ,1150,759,6,175,13,6,125,0,5,0,6,2,1,3,0,0,0,49
平地原住民,臺南市,女    ,1594,1082,4,252,9,11,149,0,6,0,9,8,2,1,0,0,0,61
平地原住民,高雄市,計    ,10832,8166,27,1690,40,81,621,4,31,1,12,26,4,6,0,0,0,123
平地原住民,高雄市,男    ,5037,3839,13,745,15,45,286,4,12,0,5,10,2,2,0,0,0,59
平地原住民,高雄市,女    ,5795,4327,14,945,25,36,335,0,19,1,7,16,2,4,0,0,0,64
平地原住民,臺灣省,計    ,175503,135630,1388,13153,190,1882,9583,11,3526,7,501,931,114,557,11,0,0,8019
平地原住民,臺灣省,男    ,88638,68228,634,6568,62,935,4743,1,1771,1,254,477,48,273,7,0,0,4636
平地原住民,臺灣省,女    ,86865,67402,754,6585,128,947,4840,10,1755,6,247,454,66,284,4,0,0,3383
平地原住民,宜蘭縣,計    ,2143,1710,26,101,0,18,81,0,6,0,0,6,0,7,0,0,0,188
平地原住民,宜蘭縣,男    ,984,796,10,44,0,8,38,0,0,0,0,1,0,5,0,0,0,82
平地原住民,宜蘭縣,女    ,1159,914,16,57,0,10,43,0,6,0,0,5,0,2,0,0,0,106
平地原住民,桃園縣,計    ,33539,28613,276,1388,36,184,813,1,681,0,15,121,6,39,5,0,0,1361
平地原住民,桃園縣,男    ,16574,14201,103,635,14,94,424,0,271,0,6,69,2,25,3,0,0,727
平地原住民,桃園縣,女    ,16965,14412,173,753,22,90,389,1,410,0,9,52,4,14,2,0,0,634
平地原住民,新竹縣,計    ,2448,1471,352,126,3,20,104,0,268,1,6,9,0,1,0,0,0,87
平地原住民,新竹縣,男    ,1102,669,175,46,0,10,45,0,115,0,3,4,0,0,0,0,0,35
平地原住民,新竹縣,女    ,1346,802,177,80,3,10,59,0,153,1,3,5,0,1,0,0,0,52
平地原住民,苗栗縣,計    ,4280,1129,561,70,9,3,78,4,2316,0,14,12,0,3,0,0,0,81
平地原住民,苗栗縣,男    ,2145,462,293,25,1,0,31,0,1284,0,5,6,0,1,0,0,0,37
平地原住民,苗栗縣,女    ,2135,667,268,45,8,3,47,4,1032,0,9,6,0,2,0,0,0,44
平地原住民,彰化縣,計    ,2586,1843,20,325,7,41,183,0,11,0,18,20,1,0,1,0,0,116
平地原住民,彰化縣,男    ,1206,870,7,154,2,15,73,0,4,0,12,12,0,0,0,0,0,57
平地原住民,彰化縣,女    ,1380,973,13,171,5,26,110,0,7,0,6,8,1,0,1,0,0,59
平地原住民,南投縣,計    ,1423,773,11,100,14,7,62,0,23,0,419,2,3,0,1,0,0,8
平地原住民,南投縣,男    ,625,319,2,41,4,2,23,0,9,0,218,0,2,0,1,0,0,4
平地原住民,南投縣,女    ,798,454,9,59,10,5,39,0,14,0,201,2,1,0,0,0,0,4
平地原住民,雲林縣,計    ,949,750,2,80,0,3,39,0,11,0,0,4,0,0,0,0,0,60
平地原住民,雲林縣,男    ,370,295,1,35,0,0,8,0,2,0,0,2,0,0,0,0,0,27
平地原住民,雲林縣,女    ,579,455,1,45,0,3,31,0,9,0,0,2,0,0,0,0,0,33
平地原住民,嘉義縣,計    ,684,478,13,58,0,5,46,3,16,0,18,2,1,1,0,0,0,43
平地原住民,嘉義縣,男    ,258,168,3,25,0,1,27,0,4,0,7,0,0,0,0,0,0,23
平地原住民,嘉義縣,女    ,426,310,10,33,0,4,19,3,12,0,11,2,1,1,0,0,0,20
平地原住民,屏東縣,計    ,4019,1591,5,2070,2,64,162,0,10,0,2,7,0,4,0,0,0,102
平地原住民,屏東縣,男    ,1906,693,1,1077,0,22,62,0,1,0,0,1,0,1,0,0,0,48
平地原住民,屏東縣,女    ,2113,898,4,993,2,42,100,0,9,0,2,6,0,3,0,0,0,54
平地原住民,臺東縣,計    ,57945,37269,24,8408,65,1492,7445,2,30,2,2,105,2,5,0,0,0,3094
平地原住民,臺東縣,男    ,30281,19479,8,4311,20,764,3772,1,12,0,0,60,0,4,0,0,0,1850
平地原住民,臺東縣,女    ,27664,17790,16,4097,45,728,3673,1,18,2,2,45,2,1,0,0,0,1244
平地原住民,花蓮縣,計    ,56017,51604,43,243,51,29,385,1,32,2,0,627,97,488,3,0,0,2412
平地原住民,花蓮縣,男    ,28497,26098,12,96,18,11,162,0,14,1,0,316,42,235,2,0,0,1490
平地原住民,花蓮縣,女    ,27520,25506,31,147,33,18,223,1,18,1,0,311,55,253,1,0,0,922
平地原住民,澎湖縣,計    ,166,130,1,20,0,0,13,0,1,1,0,0,0,0,0,0,0,0
平地原住民,澎湖縣,男    ,67,57,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0
平地原住民,澎湖縣,女    ,99,73,1,14,0,0,9,0,1,1,0,0,0,0,0,0,0,0
平地原住民,基隆市,計    ,7528,6998,12,78,3,2,92,0,9,1,4,10,1,4,0,0,0,314
平地原住民,基隆市,男    ,3798,3522,5,39,3,1,39,0,2,0,2,5,1,0,0,0,0,179
平地原住民,基隆市,女    ,3730,3476,7,39,0,1,53,0,7,1,2,5,0,4,0,0,0,135
平地原住民,新竹市,計    ,1519,1107,41,64,0,9,41,0,111,0,2,2,3,1,0,0,0,138
平地原住民,新竹市,男    ,723,535,14,27,0,5,17,0,53,0,1,1,1,0,0,0,0,69
平地原住民,新竹市,女    ,796,572,27,37,0,4,24,0,58,0,1,1,2,1,0,0,0,69
平地原住民,嘉義市,計    ,257,164,1,22,0,5,39,0,1,0,1,4,0,4,1,0,0,15
平地原住民,嘉義市,男    ,102,64,0,7,0,2,18,0,0,0,0,0,0,2,1,0,0,8
平地原住民,嘉義市,女    ,155,100,1,15,0,3,21,0,1,0,1,4,0,2,0,0,0,7
平地原住民,福建省,計    ,379,318,4,18,1,0,5,0,6,0,0,0,0,0,0,0,0,27
平地原住民,福建省,男    ,187,153,2,9,0,0,3,0,2,0,0,0,0,0,0,0,0,18
平地原住民,福建省,女    ,192,165,2,9,1,0,2,0,4,0,0,0,0,0,0,0,0,9
平地原住民,金門縣,計    ,313,266,4,9,0,0,2,0,6,0,0,0,0,0,0,0,0,26
平地原住民,金門縣,男    ,149,123,2,4,0,0,1,0,2,0,0,0,0,0,0,0,0,17
平地原住民,金門縣,女    ,164,143,2,5,0,0,1,0,4,0,0,0,0,0,0,0,0,9
平地原住民,連江縣,計    ,66,52,0,9,1,0,3,0,0,0,0,0,0,0,0,0,0,1
平地原住民,連江縣,男    ,38,30,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1
平地原住民,連江縣,女    ,28,22,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
山地原住民,總計,計    ,275226,1059,80860,73228,53157,9950,74,6876,1995,4242,6,3,27514,2,7700,0,0,8560
山地原住民,總計,男    ,133519,437,38465,35634,25888,4844,29,3344,969,2111,2,0,13330,1,3932,0,0,4533
山地原住民,總計,女    ,141707,622,42395,37594,27269,5106,45,3532,1026,2131,4,3,14184,1,3768,0,0,4027
山地原住民,新北市,計    ,15352,85,6525,2386,3223,298,9,179,132,77,0,0,1634,0,134,0,0,670
山地原住民,新北市,男    ,6707,42,2852,1062,1439,129,3,71,56,30,0,0,674,0,53,0,0,296
山地原住民,新北市,女    ,8645,43,3673,1324,1784,169,6,108,76,47,0,0,960,0,81,0,0,374
山地原住民,臺北市,計    ,5634,28,2192,881,830,159,0,133,51,35,0,0,635,0,119,0,0,571
山地原住民,臺北市,男    ,2234,12,837,384,332,74,0,49,17,11,0,0,256,0,39,0,0,223
山地原住民,臺北市,女    ,3400,16,1355,497,498,85,0,84,34,24,0,0,379,0,80,0,0,348
山地原住民,臺中市,計    ,17359,86,8114,3884,3504,227,3,250,13,55,0,1,461,0,352,0,0,409
山地原住民,臺中市,男    ,7750,25,3761,1761,1459,106,1,99,3,16,0,0,193,0,141,0,0,185
山地原住民,臺中市,女    ,9609,61,4353,2123,2045,121,2,151,10,39,0,1,268,0,211,0,0,224
山地原住民,臺南市,計    ,3369,21,500,1497,808,140,0,95,9,15,0,0,161,0,33,0,0,90
山地原住民,臺南市,男    ,1386,6,178,623,366,58,0,33,6,7,0,0,64,0,12,0,0,33
山地原住民,臺南市,女    ,1983,15,322,874,442,82,0,62,3,8,0,0,97,0,21,0,0,57
山地原住民,高雄市,計    ,19569,101,1128,5476,8691,2461,8,1111,14,32,0,0,398,0,55,0,0,94
山地原住民,高雄市,男    ,9250,40,468,2319,4363,1216,2,554,5,14,0,0,201,0,21,0,0,47
山地原住民,高雄市,女    ,10319,61,660,3157,4328,1245,6,557,9,18,0,0,197,0,34,0,0,47
山地原住民,臺灣省,計    ,213645,737,62321,59030,36030,6659,54,5100,1774,4027,6,2,24185,2,7005,0,0,6713
山地原住民,臺灣省,男    ,106034,312,30332,29442,17895,3255,23,2533,881,2033,2,0,11920,1,3665,0,0,3740
山地原住民,臺灣省,女    ,107611,425,31989,29588,18135,3404,31,2567,893,1994,4,2,12265,1,3340,0,0,2973
山地原住民,宜蘭縣,計    ,13471,20,11605,143,234,21,3,15,8,9,1,0,343,0,18,0,0,1051
山地原住民,宜蘭縣,男    ,6786,10,5934,48,81,10,0,5,4,1,0,0,138,0,9,0,0,546
山地原住民,宜蘭縣,女    ,6685,10,5671,95,153,11,3,10,4,8,1,0,205,0,9,0,0,505
山地原住民,桃園縣,計    ,27505,140,17933,2977,3310,262,12,142,226,73,1,0,1419,0,177,0,0,833
山地原住民,桃園縣,男    ,12836,65,8679,1312,1361,121,8,62,100,15,1,0,637,0,85,0,0,390
山地原住民,桃園縣,女    ,14669,75,9254,1665,1949,141,4,80,126,58,0,0,782,0,92,0,0,443
山地原住民,新竹縣,計    ,17523,26,14942,304,305,38,1,25,1253,15,0,0,154,0,28,0,0,432
山地原住民,新竹縣,男    ,8843,5,7589,125,95,20,0,11,664,8,0,0,61,0,10,0,0,255
山地原住民,新竹縣,女    ,8680,21,7353,179,210,18,1,14,589,7,0,0,93,0,18,0,0,177
山地原住民,苗栗縣,計    ,6467,14,5586,256,285,9,5,18,82,8,0,0,86,0,17,0,0,101
山地原住民,苗栗縣,男    ,3119,3,2783,107,97,3,4,4,26,5,0,0,36,0,4,0,0,47
山地原住民,苗栗縣,女    ,3348,11,2803,149,188,6,1,14,56,3,0,0,50,0,13,0,0,54
山地原住民,彰化縣,計    ,2503,21,392,863,855,82,1,44,8,12,1,0,101,0,43,0,0,80
山地原住民,彰化縣,男    ,1057,7,136,384,370,31,0,17,5,8,0,0,45,0,21,0,0,33
山地原住民,彰化縣,女    ,1446,14,256,479,485,51,1,27,3,4,1,0,56,0,22,0,0,47
山地原住民,南投縣,計    ,26946,16,6430,326,13767,69,2,248,26,5,1,0,89,0,5936,0,0,31
山地原住民,南投縣,男    ,13748,4,3120,129,7165,20,1,123,11,3,0,0,28,0,3129,0,0,15
山地原住民,南投縣,女    ,13198,12,3310,197,6602,49,1,125,15,2,1,0,61,0,2807,0,0,16
山地原住民,雲林縣,計    ,933,10,243,266,215,30,0,48,1,3,0,0,78,0,8,0,0,31
山地原住民,雲林縣,男    ,350,5,79,108,77,14,0,14,0,3,0,0,36,0,5,0,0,9
山地原住民,雲林縣,女    ,583,5,164,158,138,16,0,34,1,0,0,0,42,0,3,0,0,22
山地原住民,嘉義縣,計    ,4863,3,168,234,240,24,2,4012,11,3,1,0,45,0,15,0,0,105
山地原住民,嘉義縣,男    ,2422,2,59,97,106,14,0,2071,4,3,0,0,10,0,4,0,0,52
山地原住民,嘉義縣,女    ,2441,1,109,137,134,10,2,1941,7,0,1,0,35,0,11,0,0,53
山地原住民,屏東縣,計    ,53060,296,388,44804,545,5543,6,75,16,14,1,0,110,0,9,0,0,1253
山地原住民,屏東縣,男    ,26652,150,122,22652,180,2749,2,29,3,6,1,0,45,0,3,0,0,710
山地原住民,屏東縣,女    ,26408,146,266,22152,365,2794,4,46,13,8,0,0,65,0,6,0,0,543
山地原住民,臺東縣,計    ,21836,68,385,7977,8099,519,16,41,18,3859,0,0,164,0,17,0,0,673
山地原住民,臺東縣,男    ,11183,21,141,4105,4206,252,5,10,6,1974,0,0,57,0,9,0,0,397
山地原住民,臺東縣,女    ,10653,47,244,3872,3893,267,11,31,12,1885,0,0,107,0,8,0,0,276
山地原住民,花蓮縣,計    ,34903,85,2673,449,7680,30,4,33,12,13,0,2,21281,2,689,0,0,1950
山地原住民,花蓮縣,男    ,17580,29,1123,190,3953,9,2,14,6,4,0,0,10669,1,362,0,0,1218
山地原住民,花蓮縣,女    ,17323,56,1550,259,3727,21,2,19,6,9,0,2,10612,1,327,0,0,732
山地原住民,澎湖縣,計    ,157,0,49,46,26,5,1,7,0,0,0,0,21,0,2,0,0,0
山地原住民,澎湖縣,男    ,65,0,17,20,6,2,0,3,0,0,0,0,16,0,1,0,0,0
山地原住民,澎湖縣,女    ,92,0,32,26,20,3,1,4,0,0,0,0,5,0,1,0,0,0
山地原住民,基隆市,計    ,1190,33,524,133,238,7,1,26,7,7,0,0,151,0,20,0,0,43
山地原住民,基隆市,男    ,475,11,197,50,100,1,1,7,4,3,0,0,74,0,11,0,0,16
山地原住民,基隆市,女    ,715,22,327,83,138,6,0,19,3,4,0,0,77,0,9,0,0,27
山地原住民,新竹市,計    ,1651,4,940,197,128,17,0,14,102,4,0,0,123,0,18,0,0,104
山地原住民,新竹市,男    ,650,0,335,90,55,8,0,2,44,0,0,0,60,0,11,0,0,45
山地原住民,新竹市,女    ,1001,4,605,107,73,9,0,12,58,4,0,0,63,0,7,0,0,59
山地原住民,嘉義市,計    ,637,1,63,55,103,3,0,352,4,2,0,0,20,0,8,0,0,26
山地原住民,嘉義市,男    ,268,0,18,25,43,1,0,161,4,0,0,0,8,0,1,0,0,7
山地原住民,嘉義市,女    ,369,1,45,30,60,2,0,191,0,2,0,0,12,0,7,0,0,19
山地原住民,福建省,計    ,298,1,80,74,71,6,0,8,2,1,0,0,40,0,2,0,0,13
山地原住民,福建省,男    ,158,0,37,43,34,6,0,5,1,0,0,0,22,0,1,0,0,9
山地原住民,福建省,女    ,140,1,43,31,37,0,0,3,1,1,0,0,18,0,1,0,0,4
山地原住民,金門縣,計    ,235,1,60,65,59,6,0,7,1,0,0,0,24,0,1,0,0,11
山地原住民,金門縣,男    ,119,0,25,37,27,6,0,4,1,0,0,0,11,0,1,0,0,7
山地原住民,金門縣,女    ,116,1,35,28,32,0,0,3,0,0,0,0,13,0,0,0,0,4
山地原住民,連江縣,計    ,63,0,20,9,12,0,0,1,1,1,0,0,16,0,1,0,0,2
山地原住民,連江縣,男    ,39,0,12,6,7,0,0,1,0,0,0,0,11,0,0,0,0,2
山地原住民,連江縣,女    ,24,0,8,3,5,0,0,0,1,1,0,0,5,0,1,0,0,0
